Œ⁄¡¶, Ø,ƒæ,∆§,π«,œﬂ,1,10,4.50,20,12,15,25,150,11,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,1,1,6,100250,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
Œ⁄¡¶Œ⁄¡¶, Ø,ƒæ,π«,œﬂ,—¿,2,20,4.50,22,23,11,23,100,11,0,40,60,0,0,0,0,0,0,0,1,2,,,,,,0,1,1,6,100251,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
Œ⁄¡¶ÀπÃπ, Ø,ƒæ,∆§,π«,œﬂ,3,15,4.50,22,17,19,17,150,11,100,0,0,0,0,0,0,0,0,0,1,20,,,,,,0,1,1,6,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
Œ⁄¡¶≤º¬≥, Ø,ƒæ,π«,œﬂ,—¿,4,10,4.50,25,23,19,33,300,-1,0,0,70,30,0,0,0,0,0,0,1,150,11,,,,,1,10,10,7,100253,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
∫⁄Œ⁄¡¶, Ø,ƒæ,∆§,π«,œﬂ,5,20,4.50,22,22,24,27,300,-1,50,0,0,50,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,1,10,10,7,100388,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
Œ⁄¡¶ÀπÃπ, Ø,ƒæ,∆§,π«,œﬂ,6,25,4.50,30,24,27,24,100,11,50,0,0,50,0,0,0,0,0,0,1,20,,,,,,2,1,1,7,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
–°√´‘Ù,,,,,,7,20,5.00,20,30,20,30,100,0,0,0,40,60,30,30,30,30,30,30,40,30,-1,-1,-1,-1,-1,0,5,5,7,100436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
æﬁ¥Û¬Í∂˜ƒ¶, Ø,ƒæ,»‚,”„,√◊,8,27,4.50,50,25,15,8,270,3,90,10,0,0,0,0,0,0,0,0,1,2,,,,,,0,5,0,4,100355,0,1,,300,300,,300,300,,300,300,,300,300,,300,300,,24
æ≈–÷µ‹÷Æ“ª,,,,,,9,20,5.00,20,30,20,30,100,0,0,0,40,60,70,70,70,70,70,70,1,2,60,100,80,90,110,0,5,5,7,100037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
◊ƒ·,,,,,,10,20,5.00,30,20,30,20,100,0,50,50,0,0,10,10,10,10,10,10,1,2,40,541,30,-1,-1,0,5,5,7,100436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
≤º±»,»‚,”„,¥Æ,¬—,—Œ,11,15,4.50,42,20,16,12,240,5,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,2,0,5,100254,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
Ω≤º“¡,»‚,”„,¥Æ,¬—,—Œ,12,25,4.50,31,20,32,12,270,-1,0,0,30,70,0,0,0,0,0,0,1,2,3,40,,,,1,10,10,7,100255,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
≤º“¡,»‚,”„,¥Æ,¬—,—Œ,13,22,4.50,44,21,16,13,240,5,60,40,0,0,0,0,0,0,0,0,1,,,,,,,0,2,0,5,100256,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
≤º“¡±»,»‚,”„,¥Æ,¬—,—Œ,14,16,4.50,32,26,15,18,240,5,0,40,60,0,0,0,0,0,0,0,1,3,,,,,,0,2,0,5,100257,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
ø®≤º“¡,»‚,”„,¥Æ,¬—,—Œ,15,23,4.50,30,28,14,20,240,5,100,0,0,0,0,0,0,0,0,0,1,3,,,,,,1,2,0,5,100258,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
¬ÂøÀ«»,…∞Ã«,∂π,Ú·ÚÊ,,,16,29,4.50,25,48,19,26,150,11,0,0,90,10,0,0,0,0,0,0,1,2,152,12,41,501,312,2,1,1,7,101574,0,1,,700,700,,700,700,,700,700,,,,,,,,28
Ãÿ¿◊øÀ¬Â, Ø,√◊,”„,,,17,35,4.50,26,49,26,29,350,0,0,20,80,0,0,0,0,0,0,0,1,2,309,151,543,52,,0,5,0,7,101542,0,1,,200,200,,200,200,,200,200,,,,,,,,
Ãÿ¿◊º™¬Â, Ø,√◊,”„,,,18,40,4.50,28,42,25,23,350,0,0,100,0,0,0,0,0,0,0,0,1,2,310,546,40,30,,0,5,0,7,101543,0,1,,200,200,,200,200,,200,200,,,,,,,,
 ∑ø®Ãÿ, Ø,ƒæ,∆§,π«,—¿,19,21,4.50,25,46,20,29,150,11,80,0,0,20,0,0,0,0,0,0,1,2,507,577,545,51,,0,1,1,5,101533,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,
 ∑ø®¬≥, Ø,ƒæ,∆§,π«,—¿,20,25,4.50,28,43,22,28,150,11,0,100,0,0,0,0,0,0,0,0,1,2,608,544,210,504,,1,1,1,5,101532,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,
º”√¿,»‚,”„,√◊,¬—,“˚”√ÀÆ,21,22,4.50,22,23,19,23,210,7,0,0,60,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,5,100259,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
º”±»,»‚,”„,√◊,¬—,“˚”√ÀÆ,22,20,4.50,21,22,18,28,210,7,50,0,0,50,20,0,0,0,0,0,1,60,,,,,,0,0,1,5,100260,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
º”±»∞¬,»‚,”„,√◊,¬—,“˚”√ÀÆ,23,18,4.50,22,22,18,28,240,5,0,0,0,100,0,0,0,0,0,0,1,2,,,,,,0,0,1,5,100261,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
º”Àπ,»‚,”„,√◊,¬—,“˚”√ÀÆ,24,16,4.50,21,22,18,25,210,5,0,0,30,70,0,0,0,0,0,20,1,90,,,,,,0,0,1,5,100262,1,0,,500,500,,500,500,,500,500,,500,500,,500,500,,6
‰ˆŒ–, Ø,∆§,œﬂ,»‚,”„,25,26,4.50,30,45,18,28,250,-1,0,100,0,0,0,0,0,0,0,0,1,2,543,311,,,,1,1,1,4,101531,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,
…∫∫˜∆Ê∏Ò¿≠,»‚,”„,¥Æ,—Œ,”Õ,26,27,4.50,31,40,48,17,300,-5,0,0,70,30,0,0,0,0,0,0,1,2,,,,,,2,1,1,6,101568,0,0,,700,700,,700,700,,700,700,,700,700,,700,700,,
…∫∫˜∂‡∏ÒÀπ,»‚,”„,¥Æ,—Œ,”Õ,27,28,4.50,32,39,41,21,150,11,70,30,0,0,0,0,0,0,0,0,1,2,,,,,,0,1,1,5,101569,0,0,,700,700,,700,700,,700,700,,700,700,,700,700,,
 Ø∆˜«±ÀÆ‘±, Ø,ƒæ,»‚,”„,√◊,28,35,7.00,50,20,50,50,250,-1,100,0,0,0,0,0,0,0,0,0,1,2,12,152,613,580,501,1,1,1,4,101530,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,8
∞◊ª£,»‚,”„,¥Æ,√◊,,29,30,4.50,40,43,19,28,300,-5,0,100,0,0,1,1,1,1,1,1,1,2,61,51,311,,,2,1,1,7,100875,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,28
«‡¡˚,∆§,π«,◊¶,—¿,,30,30,4.50,23,37,12,50,300,-5,0,0,0,100,1,1,1,1,1,1,1,2,506,323,80,,,2,1,1,6,100909,0,1,,700,700,,700,700,,700,700,,700,700,,700,700,,28
Œ⁄±¶±¶,»‚,”„,√◊,¬—,“˚”√ÀÆ,31,13,4.50,17,20,10,32,150,11,30,0,0,70,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100263,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
Õ˛Õ˛,»‚,”„,√◊,¬—,“˚”√ÀÆ,32,15,4.50,18,21,7,33,150,11,0,0,60,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100264,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
Œ⁄ø®¬≥,»‚,”„,√◊,¬—,“˚”√ÀÆ,33,17,4.50,23,19,11,26,150,11,30,70,0,0,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100265,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
Õ˛≤Æ,»‚,”„,√◊,¬—,“˚”√ÀÆ,34,20,4.50,17,18,15,29,100,11,60,0,0,40,0,0,0,0,0,0,1,2,,,,,,0,0,1,6,100266,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,7
 ∑ø®∆§≈µ,…∞Ã«,∂π,Ú·ÚÊ,,,35,29,4.50,25,30,54,10,150,11,90,10,0,0,0,0,0,0,0,0,1,2,,,,,,2,1,1,7,101612,1,1,,700,700,,700,700,,700,700,,,,,,,,28
 ∑ø®∆§øÀ,…∞Ã«,∂π,Ú·ÚÊ,,,36,29,4.50,54,40,30,30,150,11,0,90,10,0,0,0,0,0,0,0,1,2,,,,,,2,1,1,7,101613,1,1,,700,700,,700,700,,700,700,,,,,,,,28
 ∑ø®∆§∞¬,…∞Ã«,∂π,Ú·ÚÊ,,,37,29,4.50,27,54,10,30,150,11,0,0,90,10,0,0,0,0,0,0,1,2,,,,,,2,1,1,7,101614,1,1,,700,700,,700,700,,700,700,,,,,,,,28
 ∑ø®∆§∂Ÿ,…∞Ã«,∂π,Ú·ÚÊ,,,38,29,4.50,25,30,10,54,150,11,0,0,10,90,0,0,0,0,0,0,1,2,,,,,,2,1,1,7,101615,1,1,,700,700,,700,700,,700,700,,,,,,,,28
÷Ì»∏,»‚,”„,¥Æ,√◊,,39,30,4.50,20,55,11,32,300,-5,0,0,100,0,1,1,1,1,1,1,1,2,90,317,500,,,2,1,1,7,100370,0,0,,700,700,,700,700,,700,700,,700,700,,700,700,,28
–˝ŒË,»‚,”„,¥Æ,√◊,,40,30,4.50,26,29,50,18,300,-5,100,0,0,0,1,1,1,1,1,1,1,2,305,110,580,,,2,1,1,6,100274,0,0,,700,700,,700,700,,700,700,,700,700,,700,700,,28
±¥¬Â∂˜,ƒæ,∆§,π«,œﬂ,—¿,41,24,4.50,30,12,30,15,210,7,0,100,0,0,0,0,0,0,0,0,1,2,,,,,,0,0,0,5,100267,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
±¥¬Â¬ÂøÀ,ƒæ,∆§,π«,œﬂ,—¿,42,19,4.50,29,14,32,13,210,7,70,30,0,0,60,0,0,-20,0,0,1,2,60,,,,,0,0,0,5,100268,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
±¥¬Â±¶øÀ∂˚,ƒæ,∆§,π«,œﬂ,—¿,43,23,4.50,30,13,31,14,210,7,30,70,0,0,0,0,0,30,0,0,1,2,80,,,,,0,0,0,5,100269,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
±¥¬Â±¶¿˚,ƒæ,∆§,π«,œﬂ,—¿,44,22,4.50,29,16,30,15,240,5,0,30,70,0,0,0,0,0,0,30,1,2,90,,,,,0,0,0,5,100270,1,1,,700,700,,700,700,,700,700,,700,700,,700,700,,10
π‚÷Æ • Ø,,,,,,45,150,2.00,150,0,50,0,100,0,0,0,0,0,1000,1000,1000,1000,1000,1000,,0,318,316,315,317,,0,0,0,4,100470,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
∂Ò∞‘¿œ¥Û,,,,,,46,30,5.00,48,33,33,6,100,0,30,0,0,70,0,0,0,0,-50,0,1,3,30,,,,,0,12,10,7,100431,0,0,,,,,,,,,,,,,,,,,-1
∂Ò∞‘¿œ∂˛,,,,,,47,30,5.00,33,48,33,6,100,0,0,70,30,0,0,0,-50,0,0,0,1,3,,,,,,0,12,10,7,100439,0,0,,,,,,,,,,,,,,,,,-1
∂Ò∞‘¿œ»˝,,,,,,48,30,5.00,33,33,48,6,100,0,0,0,70,30,0,0,0,0,0,-50,1,40,,,,,,0,12,10,7,100436,0,0,,,,,,,,,,,,,,,,,-1
∏Á¥Ô,,,,,,49,20,5.00,20,30,20,30,100,0,0,0,40,60,70,70,70,70,70,70,1,2,60,100,80,90,110,0,5,5,7,100431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
ø‚øÀ,,,,,,50,200,8.00,60,60,60,60,100,0,100,0,0,0,50,50,50,50,50,50,1,305,501,506,306,61,304,2,1,1,7,101344,0,0,,,,,,,,,,,,,,,,,-1
πÍ÷Æ∂‹,»‚,”„,¥Æ,—Œ,”Õ,51,14,4.50,20,18,34,9,180,9,30,0,0,70,0,0,0,0,0,0,1,2,,,,,,0,0,0,6,100271,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,11
¬ÃπÍ,»‚,”„,¥Æ,—Œ,”Õ,52,14,4.50,19,19,35,8,180,9,60,0,0,40,0,0,0,0,0,0,1,2,,,,,,0,0,0,6,100272,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,11
ø®√∑¿º∂˜,»‚,”„,¥Æ,—Œ,”Õ,53,12,4.50,20,21,33,10,180,9,0,0,80,20,0,0,0,0,0,0,1,2,10,,,,,0,0,0,6,100273,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,11
