扑满乌力 1558 725 Aa&
帖拉伊贝卡 5546 2446 TaTbTcTdTeTfJf&
帖拉所伊朵 353 304 TaTbTcTdTeTf&
帖伊诺斯 2546 203 TaTbTcTdTeTfJf&
VIP帖伊诺斯 2657 1267 TaTbTcTdTeTfJf&
商宠帖拉所伊朵 20004 20004 TaTbTcTdTeTf&
地狼人 1975 981 TaTbTcTdTeTf&
水狼人 1976 982 TaTbTcTdTeTf&
火狼人 1977 983 TaTbTcTdTeTf&
风狼人 1978 984 TaTbTcTdTeTf&
凯恩 1845 918 BdBe&
格里兰 1640 807 Ca&
摩里 1641 808 Ca&
摩鲁贝卡 21002 21002 TaTbTcTdTeTf&
吉比 1804 910 Ca&
克雷尔 382 101 Da&
克雷尔 58 101 Da&
克克尔 3 102 Da&
克克尔 59 102 Da&
克洛尔 378 103 Da&
克洛尔 60 103 Da&
里斯基 385 104 Da&
里斯基 61 104 Da&

布鲁多基 7008 4008 Jd&
哈斯多基 7009 4009 Jd&
毕格多基 7010 4010 Jd&
普德多基 7011 4011 Jd&

2D贝鲁卡 21018 21018 HiScTaTbTcTdTeTf&
2D贝鲁伊卡 21019 21019 HiScTaTbTcTdTeTf&
2D格鲁西斯 21020 21020 HiScTaTbTcTdTeTf&
2D金格萨贝鲁 21021 21021 HiScTaTbTcTdTeTf&

蒙奇 1947 969 HaRa&
赫拉克勒斯 1979 985 Ja&
洛奇斯德 2057 1047 Ka&
翟贝里恩 1980 986 La&
缪那 2058 1048 Ma&
帖尼布 2066 1052 Na&
帖尼贝 2067 1053 Na&
帖尼恩 2068 1054 Na&
帖尼斯 2069 1055 Na&
雷帝斯洛 2080 1060 Oa&
波比 2212 1133 Pa&
艾迪希洛 1946 968 Qa&
奥卡洛斯 350 301 SaScSdSe&
奥卡洛斯 1037 301 SaScSdSe&
左迪洛斯 351 302 SaScSdSe&
巴朵兰恩 352 303 SaScSdSe&
朵巴奈特 1644 811 SaWaScSdSe&
朵巴奈特 1973 979 SaWaSdSe&
朵巴奈特 2679 1289 SaWaSdSe&
布尔摩 2490 169 WaHn&
斑尼迪克 1645 812 SaSbScSdSe&
菲尼迪克 5545 2445 SbScWaTaTbTcTdTeTfJf&
阿米朵 1646 813 SaScSdSe&
邦司凉朵 1647 814 SaScSdSe&
巴罗多 2260 55 Ua&
巴罗特 2261 56 Ua&
毕可斯 2349 90 Va&
毕可斯 2350 96 Va&
卡卡摩 5548 2448 Va&
西基摩 5549 2449 Va&
鲁比 1926 965 Wa&
斯达克 2409 125 Xa&
西斯达 2410 126 Xa&
库胖达 2396 109 Ya&
欧胖达 2398 116 Ya&
多瑞里 2411 127 Ab&
贝瑞里 2412 128 Ab&
水海参 2800 1400 AbTaTbTcTdTeTfJf&
风海参 2801 1401 AbTaTbTcTdTeTfJf&
萨德迪比 2455 145 Ac& 
萨德斯凯 2456 146 Ac&
佛丽雅 2462 148 Ae& 
佛丽露 2463 149 Ae&
菲奇雅 2258 933 Ad&
伦迪 2480 160 Ag&
布尔摩 2490 169 Wa&
地猪年 22000 22000 TzRfApTaTbTcTdTeTf&
水猪年 22001 22001 TzRfApTaTbTcTdTeTf&
火猪年 22002 22002 TzRfApTaTbTcTdTeTf&
风猪年 22003 22003 TzRfApTaTbTcTdTeTf&
戈登尔顿 1601 768 Ai&
波比 2212 1133 Pa&
伦迪 2480 160 Ag&
美拉 2474 1140 AfAk&
佩露夏 1610 777 Aj&
乌力王 2492 170 Al&
黑暗乌力王 2493 1147 An&
乌力王 2806 1406 AlApGz&
黑乌力王 2807 1407 AnBo&
水海豚 2407 123 Gz&
风海豚 2408 124 Gz&
哈沃恩 2503 176 Am&
哈沃斯 2504 177 Am&
莱恩奇夫 2563 178 Ao&
莱恩洛克 2564 179 Ao&
巴雅 2561 1180 Ap&
巴特 2562 1181 Ap&
沃克比 2559 1178 AqAs&
沃斯姆 2560 1179 AqAs&
奈坎特 2571 1186 Re&
奈宇罗 2572 1187 Re&
华雷斯 2808 1408 Re&
华可洛 2809 1409 Re&
菲尔特 2569 1184 Ar&
布林特 2570 1185 Ar&
菲奇亚 1868 933 Ad&
波奇肯 2578 1189 Ay&
瓦奇肯 2579 1190 Ay&
弗奇肯 2580 1191 Ay&
欧奇肯 2581 1192 Ay&
波奇肯 20037 20037 Ay&
瓦奇肯 20038 20038 Ay&
弗奇肯 20039 20039 Ay&
欧奇肯 20040 20040 Ay&
修坦 2802 1402 Az&
修尼修尼 2803 1403 Az&
修格尔 2804 1404 Az&
尼修喀 2805 1405 Az&
斯达克 2801 1401 XaXb&
西斯达 2802 1402 XaXb&
地水海星 2409 125 XaXb&
火风海星 2410 126 XaXb&

邦浦洛斯 2573 208 BgMfTaTbTcTdTeTfJf&
利则诺顿 2574 204 BgMbTaTbTcTdTeTfJf&
扬奇洛斯 2575 205 BgMcTaTbTcTdTeTfJf&
邦奇诺 2576 206 BgMdTaTbTcTdTeTfJf&
布鲁顿 2577 207 BgMeTaTbTcTdTeTfJf&

利则诺顿 5156 2061 BgTaTbTcTdTeTfJf&
扬奇洛斯 5157 2062 BgTaTbTcTdTeTfJf&
邦奇诺 5158 2063 BgTaTbTcTdTeTfJf&
布鲁顿 5159 2064 BgTaTbTcTdTeTfJf&
邦浦洛斯 5160 2065 BgTaTbTcTdTeTfJf&

卡芙丽 2667 1277 Zx&
卡萝丽 2668 1278 Zx&
卡普丽 2669 1279 Zx&

卡芙丽 20032 20032 Zx&
卡萝丽 20033 20033 Zx&
卡普丽 20034 20034 Zx&

塔克 2687 1297 XbTaTbTcTdTeTfJf&
奥特普 2688 1298 XbTaTbTcTdTeTfJf&
斯达克 2689 1299 XbTaTbTcTdTeTfJf&
西斯达 2690 1300 XbTaTbTcTdTeTfJf&

